,summary
0,―――　>>　각종급처템매입中지참OK　<<　―――　[　빛백봉삽니다　문의　✨후꽃✨　]
1,토일 오후5시~8시 / 영생의사원(적몽의비원) 고정대타 소환사구합니다. 사화마녀클팀
2,신규 태천트팟 고정으로 하실 기공 or 역사 모십니다
3,12월17일(월) 오후9시 소사&서자BUS  손님 구해용!
4,♥　　전서버　급처템　삽니다　　♥　오픈카톡　에이아리　♥　　　수호수　840　금에　삽니다　　♥
5,세력인장 (무림) 350개 팝니다
6,태천 주술파밍 도와드려욥
7,▶　급처템 삽니다『봉부지참』가능　◀　급처상인　▶◀ 오픈검색 : 급처상인　▶경국은귓말주세요◀
8,⭐29성⭐각종템 팝니다⭐️홍문수 팝니다⭐️급처템 매입⭐️문의 오픈카톡 골드마트 검색⭐
9,투신혼1단계 / 투신혼 1단계 판매합니다.
10,태천 3클 4트 기권사모집
11,⚡급처템 최고가 매입합니다 빛백봉1500매입 ⚡재롱이초롱이⚡ 본캐(린검) 캣톡.카톡주세요⚡
12,―――　>>　각종급처템매입中지참OK　<<　―――　[　빛백봉삽니다　문의　✨후꽃✨　]
13,쿠테타에서 시입사원을 모집합니다.
14,토일 오후5시~8시 / 영생의사원(적몽의비원) 고정대타 소환사구합니다. 사화마녀클팀
15,♥　　전서버　급처템　삽니다　　♥　오픈카톡　에이아리　♥　　　수호수　840　금에　삽니다　　♥
16,"곤륜지팡이9 , 광휘령5, 각성극한수호석 팔아요."
17,무림)슛 / shoot에서 전장유저 모집
18,소사[BUS] 12/16 일요일 모든품목 판매 합니다. [오픈톡]
19,토요일 밤 10시 30분 태천 / 황혼의성전 풀어트 + 악세 팝니다~
